246,246,491,491,56,57,57,57,57,57,58,491,246,247,247,246,246,491,249,250,250,491,249,249,249,491,491,491,491,491,491
310,310,377,378,120,121,121,121,121,121,122,499,310,311,311,310,310,377,313,314,314,377,313,313,313,439,178,179,179,179,180
439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439
501,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439
500,439,439,439,50,51,51,51,51,51,52,439,439,53,54,54,54,54,54,55,439,439,59,60,60,60,60,60,61,439,439
439,439,439,439,114,115,115,115,115,115,116,439,439,117,118,118,118,118,118,119,439,439,123,124,124,124,124,124,125,439,439
439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439
439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439
439,439,439,439,439,439,242,243,244,245,249,250,439,250,250,249,439,439,41,439,439,370,564,-2147483278,439,439,370,564,-2147483278,439,439
439,439,439,439,41,439,306,307,308,309,313,314,439,314,314,313,439,377,105,439,439,434,439,-2147483085,439,439,434,439,-2147483085,439,439
439,439,439,439,105,439,439,439,439,439,439,439,439,439,439,439,439,435,105,439,439,498,439,-2147483085,439,439,498,439,-2147483085,439,439
-2147483019,627,628,629,171,106,106,106,106,106,106,106,106,106,106,106,106,106,173,439,439,-2147483214,439,-2147483085,439,439,-2147483214,439,-2147483214,439,439
436,436,436,436,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,439,439,562,372,-2147483086,439,439,562,372,-2147483086,439,439
439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439
439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439
45,1574,1574,1574,43,44,44,106,106,170,437,437,42,106,106,106,106,106,106,106,106,44,44,44,44,44,44,44,44,44,44
108,108,108,108,108,108,109,175,175,175,437,437,175,246,175,56,57,57,57,57,58,107,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,109,436,436,-2147483278,437,437,437,310,437,120,121,121,121,121,122,107,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,109,436,436,-2147483150,437,437,437,437,437,437,437,437,437,437,437,107,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,109,372,564,-2147483086,437,437,437,437,437,242,243,243,243,242,437,107,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,109,436,436,436,437,249,250,250,437,306,307,307,307,306,437,107,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,109,436,436,436,437,313,314,314,437,437,437,437,437,437,437,107,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,47,44,44,44,44,44,44,44,44,44,44,44,44,44,44,46,-1,-1,-1,-1,-1,-1,-1,-1,-1
